Taxon	"MR (CP intake of total, %), wk "	"MR (ME intake of total, %), wk "	"MR (DM intake of total, %), wk "	"MR (CP intake of total, %) "	"MR (ME intake of total, %) "	"MR (DM intake of total, %) "	"MR (DM intake, kg), wk "	"MR (DM intake, % of initial BW), wk "	"MR (DM intake, kg) "	"MR (DM intake, % of initial BW)"	"Total ME intake (MJ), wk "	"Total CP intake (kg), wk "	"Total DM intake (kg), wk "	Total ME intake (MJ)	Total DM intake (kg)	Total CP intake (kg)	"Starter (DM intake, kg), wk"	"Starter (DM intake, kg) "	LA	HA	ADLIB
Peptoclostridium	0.251493508	0.245355194	0.258988186	0.254565579	0.252849037	0.257127042	0.375156602	0.366024705	0.366252221	0.356671538	0.364550638	0.356419053	0.336426263	0.368556549	0.35366692	0.317399233	-0.156721738	-0.156225505	0.098039217	0.098369248	0.604840483
Enterobacteriaceae	0.413996646	0.408872636	0.419400254	0.371649152	0.369628523	0.37465077	0.482151068	0.464639534	0.443713547	0.422528542	0.440117691	0.424322011	0.38927566	0.415908696	0.380829693	0.324972231	-0.269436649	-0.27299024	0.059788256	0.093351826	0.282568178
Streptococcus	0.317042263	0.310703679	0.324450126	0.311420734	0.309732263	0.313916261	0.392132292	0.381305084	0.375953317	0.363805457	0.354217645	0.34066931	0.310938414	0.353495206	0.324386147	0.279887513	-0.228062315	-0.228289757	0.141354516	0.347820962	1.676089543
Fournierella	0.199723052	0.201964294	0.196219534	0.115612607	0.114173894	0.117839506	0.314712076	0.297124061	0.265164664	0.242684076	0.357926906	0.360912213	0.361298624	0.302916161	0.312232103	0.288227891	-0.00667433	-0.014369484	0.129336827	0.145682935	0.229101918
Catenibacterium	0.16107301	0.143598688	0.183980667	0.323076337	0.321815619	0.324830075	0.260663878	0.272795395	0.333684428	0.354076212	0.177185869	0.157213314	0.118263025	0.286971485	0.246220593	0.213688457	-0.291156266	-0.275902395	0.026640845	0.130506758	0.328169741
Lachnospiraceae unc 1	0.159458864	0.144662945	0.178868488	0.28698072	0.285549049	0.289031726	0.290888935	0.29839254	0.34714632	0.36118769	0.237525176	0.222725371	0.192360866	0.323922827	0.295659562	0.265052119	-0.229619501	-0.217600501	0.143688061	0.216762406	0.383356906
Faecalibacterium	0.157641487	0.136439021	0.185717709	0.357383383	0.355627578	0.359878392	0.34243476	0.357129443	0.434453731	0.459688224	0.270998883	0.251955126	0.213373159	0.405434973	0.370088801	0.335164388	-0.290941744	-0.272202729	0.766748761	1.131548615	2.556360076
Prevotella 2	0.080127492	0.060622489	0.106160382	0.280943364	0.279696263	0.282678904	0.230193532	0.247860964	0.325962181	0.354425425	0.162202359	0.145642553	0.113131541	0.296734533	0.266062799	0.242172795	-0.243402628	-0.224629257	1.746271387	2.040842239	3.530577393
Lachnospiraceae GCA-900066575	0.067599116	0.040601747	0.103530099	0.366880848	0.366047648	0.367891136	0.150981469	0.18179206	0.295445263	0.342113839	0.009547607	-0.019537572	-0.07274574	0.210492808	0.150133591	0.122932001	-0.391553645	-0.363570565	0.081030913	0.132015437	0.310915266
Alloprevotella	0.019019543	-0.006773612	0.05360698	0.312111418	0.311259787	0.313177804	0.138561354	0.169170102	0.282208549	0.328652215	0.024067016	0.000254611	-0.043537369	0.220039702	0.172953963	0.152572034	-0.322691791	-0.295352135	2.323885024	3.211239321	4.590013161
Phascolarctobacterium	-0.027867928	-0.05571595	0.009804347	0.293924016	0.292798601	0.295413912	0.168754314	0.202232965	0.328804532	0.380065396	0.077449307	0.057507003	0.020022172	0.2915744	0.256320296	0.240186854	-0.277727445	-0.247788363	0.35946583	0.472749977	0.62059023
Prevotellaceae unc	-0.395348072	-0.412038865	-0.37116764	-0.119950826	-0.119587291	-0.12057735	-0.203412273	-0.165288939	-0.050319286	0.004568354	-0.192852671	-0.187538691	-0.175115105	-0.013997662	0.008453095	0.046223821	0.096491963	0.121719523	0.220424856	0.129504831	0.195191349
Anaerovibrio	-0.29820721	-0.3050455	-0.287560462	-0.162513478	-0.16243593	-0.162616915	-0.116604602	-0.096954178	-0.036399474	-0.007808189	-0.057305963	-0.044239718	-0.019586798	0.029000345	0.06703107	0.099321918	0.182824357	0.19511108	0.343097561	0.384730538	0.234634339
Sutterella	-0.311538687	-0.322139997	-0.295765248	-0.130097392	-0.130133984	-0.130056313	-0.103503891	-0.078808497	-0.000146238	0.036050423	-0.055722455	-0.04503785	-0.024753215	0.060929677	0.0949514	0.126267318	0.15065732	0.167191251	0.514420373	0.358997246	0.520408355
Romboutsia	0.449542413	0.4580418	0.436374338	0.247062952	0.245667387	0.2492119	0.394136271	0.359947718	0.275026442	0.228149562	0.383467463	0.375013638	0.354165361	0.253140888	0.22880744	0.178173459	-0.163516031	-0.181934915	2.002881507	2.363895378	3.437143206
Terrisporobacter	0.374906584	0.385433142	0.359375025	0.163435134	0.162183352	0.165401328	0.345629174	0.311837664	0.225414492	0.178835065	0.365321314	0.36337433	0.35465599	0.227920167	0.219361796	0.17942336	-0.073828448	-0.093175272	0.449100384	0.424471506	0.75877441
Tyzzerella 4	0.446860793	0.446675848	0.445238014	0.350817529	0.3495362	0.352697372	0.368974348	0.34760922	0.30220916	0.273739015	0.29470808	0.274697627	0.23401644	0.235927085	0.18566736	0.129522595	-0.307010035	-0.315483084	0.470546297	0.780961738	1.092363672
Clostridioides	0.322596796	0.341103676	0.296328055	0.040253025	0.040023108	0.04071003	0.157164821	0.119615132	0.00389224	-0.050419207	0.175621794	0.176524705	0.17568903	-0.008916801	-0.016222468	-0.043680187	-0.010814846	-0.036777538	0.261735464	0.254781988	0.232506227
Paeniclostridium	0.291578772	0.310307487	0.265286705	0.007446706	0.006918425	0.008384768	0.198100219	0.159595539	0.045543717	-0.009470602	0.250481954	0.257099532	0.265633183	0.063858927	0.072048172	0.048410094	0.056098124	0.029906365	0.796372959	0.773351659	0.731309238
Ruminococcaceae unc	0.250245566	0.244481219	0.256699939	0.271930299	0.27170388	0.272151509	0.119338875	0.117985747	0.118729243	0.117126494	0.006164939	-0.017084602	-0.059596362	0.024526428	-0.033181195	-0.068194756	-0.312800932	-0.310462077	0.274003963	0.323286656	0.399749516
Desulfovibrio	0.150947951	0.138546206	0.166664005	0.274078178	0.274134061	0.273816132	0.034172187	0.046860823	0.087754803	0.106009402	-0.105773946	-0.132668738	-0.180249371	-0.020584309	-0.084797148	-0.111879024	-0.347102013	-0.335398763	0.231538993	0.333513417	0.381993658
Ruminococcaceae	-0.133447505	-0.145662166	-0.116902972	0.054640825	0.055816053	0.052705016	-0.25273948	-0.224865865	-0.154967064	-0.116964572	-0.366474193	-0.383743918	-0.410074958	-0.240917642	-0.281943412	-0.273073521	-0.183898607	-0.166423241	0.469504318	0.377438184	0.410140587
Peptococcaceae unc	-0.025812255	-0.019851383	-0.034078854	-0.073696628	-0.072452365	-0.075584662	-0.218846557	-0.219418622	-0.241953013	-0.245562306	-0.258668198	-0.262582836	-0.266068544	-0.289660848	-0.305546797	-0.297592277	-0.018757256	-0.023175336	0.573693346	0.608306704	0.354925915
Ruminococcaceae UCG-005	-0.024470117	-0.007540839	-0.0473832	-0.203281157	-0.201976432	-0.205150829	-0.222869514	-0.238436419	-0.310397993	-0.335965167	-0.1961075	-0.187426229	-0.168812158	-0.314886148	-0.303679182	-0.288395325	0.142104133	0.125463426	11.86839463	12.16228939	8.542424921
Ruminococcaceae UCG-010	-0.187880822	-0.173624	-0.206642742	-0.294773218	-0.292744871	-0.297760074	-0.403022327	-0.405543799	-0.448212571	-0.456326123	-0.384978471	-0.374991434	-0.351324062	-0.457239647	-0.442474937	-0.408378945	0.18428819	0.174200948	2.043499706	1.387480431	0.591009202
Lachnoclostridium 10	-0.272577639	-0.258661088	-0.290388688	-0.362732644	-0.360850253	-0.365467947	-0.406464787	-0.406568804	-0.439484445	-0.443704613	-0.349269335	-0.331858214	-0.295148669	-0.411864769	-0.377075646	-0.332814004	0.279252649	0.270606791	0.230212319	0.175960029	0.047986575
Oscillibacter	-0.327875808	-0.330094703	-0.323975162	-0.211299372	-0.209196613	-0.214532329	-0.471417399	-0.446015546	-0.400484879	-0.368050319	-0.514522895	-0.514924708	-0.508382651	-0.438975976	-0.442728348	-0.402475319	0.061790539	0.07239644	0.41559766	0.413344613	0.254155881
Christensenellaceae R7 group	-0.183177869	-0.1836363	-0.182205267	-0.120518906	-0.118894475	-0.123024466	-0.340082148	-0.32448703	-0.301940588	-0.282786194	-0.390905235	-0.39490738	-0.396682961	-0.349788648	-0.363103758	-0.339828667	-0.002665021	0.00306152	2.253138401	2.610110847	1.619723189
Clostridiales family XIII AD3011 group	-0.169733735	-0.170853922	-0.167846814	-0.105788789	-0.104443786	-0.107865616	-0.288016247	-0.27348453	-0.249685408	-0.231459281	-0.328295233	-0.331164666	-0.331758622	-0.286448575	-0.295897617	-0.274894694	0.00436021	0.010204724	0.403463508	0.384932925	0.274156948
Rikenellaceae RC9 gut group	-0.25742884	-0.257908298	-0.255966987	-0.184474136	-0.183046049	-0.186648688	-0.331220152	-0.314271223	-0.284518033	-0.262911013	-0.341076521	-0.337514242	-0.326191211	-0.294510991	-0.287512646	-0.255175838	0.092339102	0.098915548	3.276475509	3.294110748	1.807136418
Eubacterium nodatum group	-0.18226616	-0.174705268	-0.19192692	-0.218437664	-0.216972114	-0.22061025	-0.308211282	-0.304702727	-0.318569883	-0.316648737	-0.295954965	-0.288607698	-0.271016022	-0.321363955	-0.308852641	-0.280325457	0.1372399	0.133725489	0.215333494	0.245049614	0.125517721
Eubacterium coprostanoligenes group	-0.22855959	-0.225068373	-0.232577784	-0.206775939	-0.205246677	-0.209077117	-0.33679428	-0.325756493	-0.316609245	-0.30384781	-0.338558494	-0.33338222	-0.319149656	-0.325741625	-0.316846909	-0.28532383	0.113669241	0.115511461	2.607475524	2.646779513	1.848239599
Ruminococcaceae UCG-013	-0.268110823	-0.260892792	-0.277067336	-0.276628666	-0.274613312	-0.279644067	-0.431382694	-0.421559345	-0.424578513	-0.414652541	-0.428810853	-0.421271599	-0.401451036	-0.436366485	-0.424183045	-0.384955249	0.157163614	0.156158078	0.999215002	0.620639856	0.334341912
Clostridiales vadinbb60 group unc	-0.249747807	-0.240301663	-0.261712636	-0.290618337	-0.288758391	-0.293371602	-0.397392233	-0.392132239	-0.407224954	-0.403601619	-0.376055873	-0.365541313	-0.341037509	-0.405224255	-0.386127733	-0.347744593	0.190202206	0.186188041	0.380575718	0.131111999	0.071404946
Lachnospiraceae NK4A136 group	-0.36641383	-0.374972616	-0.353370164	-0.187515311	-0.186749784	-0.188698566	-0.258325865	-0.230247952	-0.154205344	-0.114854658	-0.23391587	-0.225097327	-0.205698164	-0.118854606	-0.092357163	-0.052406869	0.148882991	0.165164121	0.442163373	0.265155883	0.305318663
Prevotella 1	-0.556660368	-0.561315086	-0.548114332	-0.378994777	-0.377437501	-0.381326053	-0.455592347	-0.422384872	-0.343891677	-0.298744723	-0.392105133	-0.372706508	-0.331764577	-0.279981999	-0.229202924	-0.162607742	0.311517031	0.327488689	0.514132635	0.218431215	0.109766553
Muribaculaceae unc 2	-0.513130831	-0.5205578	-0.501296098	-0.302438622	-0.300398409	-0.305571598	-0.525379733	-0.487046341	-0.399730095	-0.348231611	-0.530056028	-0.522343449	-0.500775022	-0.394442072	-0.373845685	-0.314248429	0.172709399	0.1918574	0.168288898	0.17346435	0.101843393
Muribaculaceae unc 1	-0.513130831	-0.5205578	-0.501296098	-0.302438622	-0.300398409	-0.305571598	-0.525379733	-0.487046341	-0.399730095	-0.348231611	-0.530056028	-0.522343449	-0.500775022	-0.394442072	-0.373845685	-0.314248429	0.172709399	0.1918574	4.409509158	2.517069424	1.35794318
Ruminococcus 1	-0.458236825	-0.466744825	-0.445090767	-0.250827567	-0.249217258	-0.253311864	-0.43388075	-0.39820739	-0.31208344	-0.263522613	-0.435279799	-0.428446955	-0.409823944	-0.301515008	-0.281848087	-0.230022345	0.148528649	0.167411781	0.600096279	0.34624646	0.17814246
Ruminiclostridium 6	-0.480845569	-0.48871024	-0.46840618	-0.278524788	-0.277002057	-0.280857819	-0.426065335	-0.39103932	-0.305684669	-0.257856639	-0.408796575	-0.398578532	-0.374152848	-0.278927708	-0.250527399	-0.195516244	0.190498161	0.20887003	0.157498973	0.113033634	0.037145869
Lachnospiraceae unclassified	-0.417382214	-0.409326509	-0.426576115	-0.413746517	-0.411994685	-0.41629376	-0.435598299	-0.423552449	-0.415862072	-0.402026155	-0.354229223	-0.331792485	-0.285842316	-0.356400348	-0.304920418	-0.246802284	0.347341271	0.347255592	11.6919134	10.76627292	7.734108673
Acetitomaculum	-0.485031055	-0.474092672	-0.497544151	-0.511101334	-0.50980613	-0.512879878	-0.378321978	-0.370626364	-0.369820434	-0.361252603	-0.221094801	-0.185319384	-0.116911966	-0.244888904	-0.15897971	-0.09078922	0.508955226	0.50597346	0.31676888	0.14845831	0.043813415
Olsenella	-0.305262662	-0.298584504	-0.312732522	-0.324654215	-0.324194445	-0.325216555	-0.177254237	-0.174093466	-0.173153375	-0.169412408	-0.054490042	-0.028488543	0.019728163	-0.071917037	-0.007888942	0.034686114	0.356040639	0.353860087	0.525653558	0.348101036	0.303231993
Lachnospiraceae UCG-001	-0.391401729	-0.383812172	-0.399833326	-0.39830477	-0.39730601	-0.399679801	-0.297994677	-0.290317502	-0.284161661	-0.27500858	-0.17588234	-0.148028799	-0.094716116	-0.18565403	-0.118243735	-0.06408458	0.396744526	0.395655252	0.366310793	0.117235929	0.047500329
Agathobacter	-0.317634685	-0.30938823	-0.327271811	-0.347743113	-0.34689737	-0.34889273	-0.24675021	-0.243233739	-0.24758567	-0.244185963	-0.136565893	-0.111795143	-0.064663709	-0.160901317	-0.101690934	-0.056299263	0.350241529	0.347071127	0.494221906	0.375756527	0.110371973
Roseburia	-0.33985442	-0.332435246	-0.348296502	-0.355133356	-0.354222841	-0.356386798	-0.265728599	-0.259978127	-0.258305432	-0.2517874	-0.157368027	-0.132630088	-0.085264388	-0.172030666	-0.112575032	-0.064960016	0.352517408	0.350707434	1.015825484	0.714085125	0.479218624
