Calf_ID,Diet,Sampling_date,Antibiotic_bef_aft,Ruminococcaceae UCG-005,Lachnospiraceae,Bacteroides,Blautia,Alloprevotella,Muribaculaceae uncultured bacterium,Rikenellaceae RC9 Gut group,Clostridium sensu stricto 1,Romboutsia,Prevotella 2,Eubacterium coprostanoligenes group,Christensenellaceae R 7 group,Ruminococcaceae UCG-014,Fusobacterium,Uncultured Porphyromonadaceae bacterium,Faecalibacterium,Mollicutes RF39,Ruminococcaceae UCG-010,Prevotellaceae UCG-003,Lachnospiraceae UCG-010,Ruminococcus gauvreauii group,Bifidobacterium,Tyzzerella 4,Paeniclostridium,Roseburia,Turicibacter,Streptococcus,Mollicutes RF39 uncultured bacterium,Pseudomonas,Ruminococcaceae UCG-013,Sharpea,Akkermansia,Terrisporobacter,Peptococcaceae uncultured,Subdoligranulum,Phascolarctobacterium,Sutterella,Prevotella 9,Ruminiclostridium 9,Prevotellaceae NK3B31 group,Ruminococcaceae,Ruminococcus 1,Olsenella,Odoribacter,Oscillibacter,Ruminococcus torques group,Alistipes,Family XIII AD3011 group,Parabacteroides,Lachnospiraceae NK4A136 group,Prevotellaceae GA6A1 group,Ruminococcaceae uncultured,Desulfovibrio,Erysipelotrichaceae uncultured,Agathobacter,Anaerovibrio,Lachnospiraceae AC2044 group,Holdemanella,Prevotella 1,Ruminococcaceae UCG-002,Peptoclostridium,Succinivibrio,Lachnospiraceae uncultured,Lachnospiraceae NK3A20 group,Clostridioides,Erysipelotrichaceae UCG-003,Ruminococcaceae NK4A214 group,Megamonas,Mollicutes RF39 uncultured rumen bacterium,Uncultured Lachnospiraceae bacterium,Catenibacterium,Clostridiales vadinbb60 group uncultured bacterium,Eubacterium nodatum group,Prevotellaceae uncultured,Muribaculaceae gut metagenome,Treponema 2,Lachnospiraceae GCA 900066575,Anaerostipes,Lachnoclostridium,Faecalitalea,Uncultured Erysipelotrichaceae bacterium,Lachnospiraceae UCG-001,Acetitomaculum,Ruminococcaceae UCG-009,Lactococcus,Lachnospiraceae UCG-004,Fournierella,Coprococcus 3,Peptococcus,Lachnoclostridium 10,Muribaculaceae uncultured organism,Bacteroidales,Intestinimonas,Escherichia-Shigella,Ruminococcus 2,Enterobacteriaceae,Uncultured Bacteroidales bacterium,Dorea,Erysipelotrichaceae UCG-004,Marvinbryantia,Tyzzerella,Candidatus Stoquefichus,Ruminiclostridium 6,Erysipelotrichaceae UCG-002,Megasphaera,Butyricicoccus,Others
157,HA,28/09/2017,befAb,1441,2197,854.9999999,547.0000001,1631,851,1889,90.99999991,0,1005,1216,481.9999999,239.0000001,3.999999971,359,835.9999999,126,221.9999999,570.9999999,182,121,435.0000001,182,0,121,0,14,75.00000002,21.99999994,235.0000001,6.999999899,6.999999899,0,80.00000004,0,151.0000001,99.00000005,39.99999992,121,114.9999999,151.9999999,34.00000006,36.99999999,113.0000001,154,7.999999943,6.999999899,67.99999992,99.00000005,169.9999999,0,36.99999999,81.99999992,173,56.00000001,95.00000008,87.99999998,6.000000059,211.0000001,0,0,26.99999996,31.99999997,0,0,53.99999992,34.9999999,0,16.99999993,142.9999999,0,16.00000009,6.000000059,36.99999999,0,67.00000008,64.99999999,0,0,6.000000059,0,34.00000006,19.00000002,26.99999996,20.9999999,11.99999991,66.00000004,42,0,26.99999996,34.00000006,3.999999971,16.99999993,0,11.00000007,0,0,39.00000008,6.999999899,15.00000005,0,35.99999995,6.000000059,35.99999995,30.99999993,30.99999993,1137
3,LA,28/09/2017,befAb,1627.000001,1719,1122,371,76.99999995,727.9999999,731,115.0000001,51.99999996,471,293,269.9999999,505,1.99999998,24.99999999,12.99999999,101,165,254,128,57.00000003,0,40.99999995,15.99999996,428.0000001,16.99999995,5.99999994,74.99999997,13.99999998,61.99999998,10.00000002,4.99999995,0,12,0,68.00000004,80.00000004,13.99999998,51.99999996,24.99999999,72.99999999,14.99999997,29.99999994,53.99999994,64.99999995,0,38.99999997,35.00000001,35.00000001,37.99999998,7.00000005,0,0,0,20.00000004,48,82.00000002,0,110,13.99999998,0,0,9.00000003,0,0,0,29.99999994,0,0,0,0,24.99999999,0,16.99999995,7.00000005,486,0,0,17.99999994,0,0,63.99999996,120,0,10.00000002,24.99999999,58.00000002,0,0,24,0,0,0,0,0,0,0,0,14.99999997,46.00000002,11.00000001,16.99999995,0,4.99999995,0,10.00000002,631.9999999
106,LA,28/09/2017,befAb,987.9999999,813,682.0000001,601,528.0000001,338,376.0000001,66.00000004,93.99999998,1632,132,209,309,9.000000021,120,115,129.9999999,131,387,141,137,8.000000019,0,35.99999997,56.00000001,15.00000004,120,169,15.00000004,86.99999997,415,0,27.99999995,29.99999995,0,50,52,14.00000003,80.99999995,150,93.99999998,0,56.00000001,100,55.00000001,0,34.99999996,25.00000006,126.0000001,24.00000006,0,35.99999997,107,4.000000009,24.00000006,145,21.00000005,22.00000005,83.99999996,21.00000005,0,25.00000006,28.99999995,13.00000003,0,0,0,0,16.00000004,188,19.00000004,35.99999997,8.000000019,23.00000005,0,52,17.00000004,0,0,50,0,15.00000004,0,12.00000003,5.000000012,0,0,0,7.000000016,0,0,0,0,0,12.00000003,38.99999997,0,0,0,20.00000005,0,10.00000002,0,188,45.99999999,0,781
109,LA,28/09/2017,befAb,1392,1654,4979,1129,363,125.0000001,169.9999999,1135,58.00000005,588,863.0000001,182.9999999,206.0000001,1085,417.0000001,360,171.9999999,104.9999999,435,311,146,0,78.99999999,16.99999995,617.9999999,28.99999991,10.99999997,56.00000006,21.99999993,0,0,5.999999982,16.99999995,135,274.0000001,128.0000001,241,598,155,128.0000001,59.00000005,43.00000009,91.99999995,43.00000009,50.00000007,115.0000001,0,32.9999999,93.99999994,298,13.99999996,15.99999995,5.999999982,42.0000001,80.99999998,113.0000001,0,62.00000004,202.0000001,0,443,196.0000001,109.9999999,0,0,240,0,0,0,127.0000001,0,5.999999982,12.99999996,81.99999998,26.99999992,0,29.99999991,12.99999996,0,5.999999982,0,46.00000009,33.9999999,0,33.9999999,86.99999996,10.99999997,87.99999996,0,0,0,13.99999996,13.99999996,0,6.999999979,7.999999976,34.9999999,0,26.99999992,0,7.999999976,52.00000007,0,0,26.99999992,19.99999994,731.0000001
153,LA,28/09/2017,befAb,2834,2063,1995,469,29.00000003,1328,603,2022,284.9999999,324.9999999,666,381.9999999,411,9.99999995,604,266,435,408.0000001,358.0000001,129,64.99999989,4.999999975,43.99999996,146,181,83.99999998,17,166.0000001,23.00000002,1017,0,7.000000054,48.99999993,53.00000009,63.00000004,66.99999997,113,31.00000011,104.9999999,64.99999989,102,160.9999999,124,64.99999989,91.00000003,0,0,88.99999995,54.99999995,265,0,0,19.00000008,31.00000011,321,143.9999999,80.00000004,10.99999999,221,14.99999992,0,65.99999993,18.00000004,2.999999896,31.99999993,14.99999992,36.00000009,0,109.0000001,17,0,52.00000005,8.000000093,17,0,309,14.99999992,0,0,0,17,143.0000001,183.9999999,0,19.00000008,25.99999991,47.00000007,37.99999994,0,29.00000003,63.00000004,0,0,43.99999996,59.0000001,0,0,8.99999991,42.99999992,27.99999999,27.99999999,38.99999998,51.00000001,0,3.999999935,9.99999995,980
158,LA,28/09/2017,befAb,1551,2822.000001,1569,552,186,69.99999994,64.99999998,1589,33,628.9999999,246.0000001,185,242,138,449,245,50.99999996,321,364.0000001,240.9999999,161.9999999,9.999999922,23.00000008,49.00000007,592,88.00000006,15.00000005,70.99999997,40.00000001,21.00000003,0,0,9.00000006,28.00000004,14.00000002,83.99999996,87.00000004,177,49.00000007,79,28.00000004,0,324,0,23.00000008,28.00000004,0,31.99999998,42.00000006,33,8.000000035,0,0,28.00000004,214.9999999,84.99999999,31.99999998,119,33,0,107,360,25.99999999,0,0,163,7.000000011,0,16.00000007,31.99999998,0,37.99999996,3.000000074,67.00000003,0,0,24.99999997,16.00000007,0,9.999999922,0,106,38.99999999,0,16.99999993,60.00000002,0,71.99999999,0,43.99999995,0,3.000000074,0,0,13,0,0,16.00000007,113,24.99999997,0,40.00000001,0,0,16.00000007,13,687.0000001
20,ADLIB,5/10/2017,befAb,943,886.0000001,267.9999999,1653,877,201,671,525,690,829,280.9999999,274.9999999,743,13.00000004,1075,560,590,31.00000005,289,160,185.9999999,2.000000063,38.00000008,79.00000008,136,168.9999999,319,649,20.99999992,14.00000007,162.9999999,7.000000035,134,71.00000001,181,177,91.00000009,48.00000003,205,123,61.00000007,7.000000035,13.00000004,79.99999992,25.00000005,232.0000001,26.00000008,0,67.99999992,79.00000008,0,38.99999993,264,305,0,16.99999998,0,54.00000003,25.00000005,0,4.999999972,3.99999994,25.00000005,38.99999993,14.99999992,340,4.999999972,61.00000007,0,344.9999999,91.00000009,0,37.00000005,44.99999993,4.999999972,0,68.99999995,188,118,22.99999998,39.99999996,0,14.00000007,0,42.00000002,50.00000009,19.00000004,8.999999912,121.9999999,10.99999998,50.00000009,0,15.99999995,0,25.00000005,161.9999999,0,27.99999995,3.99999994,12.00000001,10.99999998,8.999999912,0,36.00000002,16.99999998,31.00000005,837
22,ADLIB,5/10/2017,befAb,646.0000002,728.9999997,1364,494,146,35,135,39,89.99999997,236,87.99999998,50.99999998,301,6.999999988,106,113,72,26.00000002,21.00000003,86.99999998,133,0,285,39.99999999,0,25.00000002,22.00000003,142,6.999999988,7.999999986,0,0,24.00000002,28.00000002,0,45.99999998,28.00000002,0,33.00000001,26.00000002,0,0,0,28.00000002,12.99999998,39.99999999,5.99999999,11.99999998,24.00000002,0,15.99999997,26.00000002,0,6.999999988,0,0,0,23.00000002,0,0,15.99999997,0,24.00000002,7.999999986,6.999999988,65.00000001,0,28.00000002,0,6.999999988,0,0,0,10.99999998,0,0,0,23.00000002,0,5.99999999,45.99999998,6.999999988,0,7.999999986,17.99999997,0,16.99999997,13.99999998,6.999999988,0,0,0,10.99999998,30.00000001,0,0,0,0,0,0,0,5.99999999,0,0,0,0,86.99999998
161,ADLIB,5/10/2017,befAb,2686,1559,4421.000001,239,1926,1038,1614,27,151,286,791,440,452,8.999999927,344.9999999,41.00000008,340.9999999,647.0000001,207.0000001,228.9999999,108,0,18.00000007,74.99999991,14.00000008,31.99999994,11.99999998,136.9999999,27,250.0000001,19.00000002,168.0000001,0,128,19.99999996,45.00000008,83.00000011,10.00000009,114.0000001,49.00000007,51.9999999,23.99999995,39.99999992,350.0000001,83.00000011,18.00000007,130.0000001,57.00000005,116.9999999,37.00000009,0,54.99999995,12.99999992,15.00000003,0,0,58.99999994,0,22.00000007,15.00000003,0,0,34.99999999,0,12.99999992,10.00000009,31.99999994,0,423.0000001,18.00000007,0,68.00000009,53.00000006,3.999999992,0,0,8.999999927,0,30.00000005,10.00000009,386,6.000000099,23.00000001,76.00000007,18.00000007,0,0,23.00000001,15.00000003,24.99999989,0,56.00000011,29.00000011,0,34.00000004,12.99999992,0,0,19.99999996,0,0,0,0,0,15.99999997,0,822
170,ADLIB,5/10/2017,befAb,1282,714,1675.000001,598,383,88.99999993,206,689,795,442,202,96.00000004,245,116.9999999,219.0000001,601,491,36.00000001,41.00000005,0,114,0,95.00000001,120,311,128.0000001,132.0000001,104,18.99999997,17.00000004,66.99999999,0,403,60.00000002,159,92.00000004,37.00000005,0,278.9999999,21.99999994,41.00000005,0,52.00000002,61.00000006,38.99999998,20.00000001,12,17.00000004,32.00000001,0,4.000000002,56.00000002,6.999999969,65.00000006,0,16.00000001,0,37.00000005,0,0,12,6.999999969,37.99999995,62.99999999,28.00000001,140.0000001,9.000000038,14.99999997,18.99999997,333,0,0,5.000000036,9.999999936,18.99999997,2.999999967,44.00000002,0,36.00000001,129,44.00000002,0,14.99999997,17.99999994,33.00000005,0,81.00000007,5.999999935,49.99999995,0,0,0,65.00000006,202,0,122,0,0,0,0,0,0,0,0,0,25.00000004,461
177,ADLIB,5/10/2017,befAb,359,488,3760,1339,26.00000001,115,51.00000006,150.9999999,466,97,32.00000008,10.00000006,181.0000001,1365,131.9999999,1248,7.000000024,0,21.00000007,137.0000001,321,463,118.0000001,48.99999997,0,53.99999991,2323,0,28.0000001,0,467.9999999,8.99999992,78.00000002,3.999999986,208,99.00000009,109,0,78.00000002,89.00000003,15,0,101,120,0,152,0,0,14.00000005,0,763.0000001,25.00000006,22.00000002,19.99999993,0,86.99999994,0,157.9999999,7.000000024,0,78.99999996,0,18.99999998,19.99999993,6.000000076,71.99999994,0,451,0,0,116.9999999,0,37.00000002,17.00000009,6.000000076,0,32.00000008,67.99999995,71.99999994,0,0,0,0,0,43.00000009,99.00000009,89.00000003,0,52.00000001,0,3.999999986,0,49.99999992,249,11.99999996,90.99999992,0,40.00000005,0,0,26.00000001,0,0,0,232,38.99999991,1375
11,HA,5/10/2017,befAb,4864,3966.000001,2187,1048,21.00000005,108,162.0000001,397,457.9999999,306,297.9999999,416.0000001,93.00000004,637,558,69.00000004,45.00000005,225,157.0000001,457,232,0,285.9999999,138.0000001,237.9999999,79.99999991,23.00000009,102.0000001,21.99999996,33.00000005,7.000000017,4.99999998,95.99999998,88.99999996,0,88.99999996,74.00000002,0,304.9999999,50.00000003,0,64.00000006,145.0000001,33.99999995,55.00000001,9.99999996,7.000000017,74.99999993,38.99999993,60.99999989,21.99999996,55.00000001,9.000000055,0,181.0000001,16.00000007,177.9999999,64.00000006,78.0000001,0,0,12.9999999,35.99999999,12,79,62.99999993,74.99999993,0,14.99999994,0,0,16.00000007,91.9999999,6.000000112,55.99999991,0,0,0,0,36.9999999,31.99999992,263.9999999,139.9999999,16.99999998,21.00000005,102.0000001,7.000000017,145.0000001,0,208,0,0,23.99999999,4.99999998,9.000000055,16.00000007,0,28.99999997,23.00000009,47.99999999,4.000000075,64.99999997,9.000000055,16.99999998,35.00000009,16.00000007,1529
15,HA,5/10/2017,befAb,1005,842.9999998,1650,191,68.99999997,147,288,42.99999997,61.99999998,7.999999965,191,96.99999999,96.99999999,423,25.00000002,16.99999998,0,166,95.00000003,77.99999998,15.00000002,0,105,37.00000003,87.99999997,18.00000003,9.000000014,26.99999997,19.00000001,55.99999997,16,0,22.00000001,104,0,0,32,0,23.99999997,0,16,0,25.99999999,74,32.99999998,13,54.99999999,35.99999999,23.99999997,22.99999999,0,66.00000003,0,6.999999987,0,0,0,5.000000032,5.000000032,0,25.99999999,9.000000014,0,0,0,5.000000032,23.99999997,0,0,0,0,0,22.00000001,0,31.00000002,0,0,0,0,108,0,0,0,15.00000002,0,0,13,35.99999999,0,0,0,0,19.00000001,127,3.999999982,0,0,5.000000032,32,0,13,0,0,0,3.999999982,0,213
159,HA,5/10/2017,befAb,3068,2418,864.0000001,349.0000001,423,373,204.0000001,203,333,213,1597,457,831.0000001,5.00000007,1198,0,568,294,175.0000001,197.9999999,137,0,81.99999993,284.9999999,115,117.0000001,8.000000038,224,37.00000004,189,6.999999987,208.0000001,44.00000003,117.0000001,0,91.00000002,35.99999999,0,106.9999999,53.99999998,38.00000009,67.00000009,45.00000008,63.00000007,66.00000004,0,17.99999999,76,23.99999993,24.99999998,0,186.0000001,121.9999999,24.99999998,45.99999994,15.00000003,34.00000007,2.999999968,23.00000006,66.00000004,2.999999968,4.000000019,41.99999992,0,56.99999995,0,84.00000003,0,92.00000007,0,0,48.99999991,29,1.999999918,0,182.9999999,0,0,0,1.999999918,71.99999998,4.000000019,4.000000019,24.99999998,20.99999996,0,0,82.99999998,1.999999918,15.00000003,33.00000002,11.00000001,0,0,0,8.000000038,2.999999968,41.00000006,12.99999992,59.99999992,0,70.99999993,15.00000003,0,0,0,765
163,HA,5/10/2017,befAb,413,499,877.0000002,134,137,105,607.9999999,19.99999999,63.00000001,59,139,93,93,105,219,19.99999999,174,125,72.00000001,62.00000002,15.99999999,0,71.00000002,29,39.99999999,20.99999998,0,3.00000002,6.999999977,44.99999999,27.00000002,0,9.000000008,16.99999997,0,15.99999999,29,0,0,13.00000002,9.999999997,25.99999998,14.00000001,15.99999999,25.99999998,0,0,14.00000001,19.00000001,0,0,0,3.00000002,0,33.00000001,0,28.00000001,0,5.999999988,0,0,0,11.99999998,0,6.999999977,0,6.999999977,0,6.999999977,0,0,0,0,0,88,0,0,0,0,0,5.999999988,5.999999988,0,0,0,0,0,0,9.000000008,16.99999997,0,0,10.99999999,0,0,0,0,0,8.000000019,0,0,14.00000001,0,0,4.00000001,0,561.0000002
