Calf ID	Diet	Farm	Shannon diversity	Chao1 richness
111	ADLIB	Farmway	4.61384793	78.96714286
151	HA	Ohau	4.718138168	87.11525253
152	ADLIB	Ohau	4.927612482	73.56666667
153	LA	Ohau	4.907524405	86.85973693
154	ADLIB	Ohau	4.628338745	72.55
155	HA	Ohau	5.055079183	82.30416667
156	ADLIB	Ohau	5.017245435	65.395
157	HA	Ohau	4.926707299	83.87345238
158	LA	Ohau	4.727506818	79.70833333
159	HA	Ohau	4.723741485	78.13785714
160	LA	Ohau	4.969211951	85.78952381
161	ADLIB	Ohau	4.462232191	80.35597403
162	ADLIB	Ohau	4.561093712	70.10833333
163	HA	Ohau	4.449639684	58.46166667
164	LA	Ohau	3.335818894	39.41
166	LA	Ohau	4.556902097	80.58309524
167	HA	Ohau	4.846080918	80.38666667
168	LA	Ohau	4.838789934	80.46638528
169	HA	Ohau	5.01019535	80.71309524
170	ADLIB	Ohau	5.089036199	80.72
171	ADLIB	Ohau	4.878262687	75.89095238
172	HA	Ohau	4.67522787	80.33154762
173	LA	Ohau	4.538936116	70.22084416
174	LA	Ohau	4.7986929	85.89861111
175	HA	Ohau	5.001010025	87.07857143
176	ADLIB	Ohau	4.541307857	83.99573232
177	ADLIB	Ohau	4.532921202	73.20964286
178	LA	Ohau	3.849014731	66.48511905
179	HA	Ohau	5.026951775	93.6875
180	LA	Ohau	4.7598759	76.11428571
181	HA	Ohau	4.549240707	83.11327561
182	ADLIB	Ohau	2.84526244	28.95833333
184	LA	Ohau	4.676922647	80.43591298
185	ADLIB	Ohau	4.882462458	85.4252381
186	LA	Ohau	4.59946854	84.61549784
188	HA	Ohau	4.507138045	74.88666667
189	HA	Ohau	3.280420272	47.18071429
190	ADLIB	Ohau	4.946641609	79.71873016
191	LA	Ohau	4.798647205	59.27
192	HA	Ohau	4.65428628	68.41547619
193	ADLIB	Ohau	4.666324487	85.01645022
194	LA	Ohau	4.689900393	76.00833333
195	ADLIB	Ohau	4.813608102	74.09166667
196	LA	Ohau	4.944128225	69.32380952
197	HA	Ohau	4.833556748	91.03893939
198	HA	Ohau	4.006591186	66.37452381
199	ADLIB	Ohau	4.938167271	82.62818182
200	LA	Ohau	4.908575479	80.89821429
202	ADLIB	Ohau	5.080810044	86.04
203	LA	Ohau	4.476177079	76.86666667
204	LA	Ohau	4.744620475	72.91527778
207	LA	Ohau	4.483718828	79.36265873
208	ADLIB	Ohau	4.240704267	50
209	HA	Ohau	4.737015154	72.78692641
210	ADLIB	Ohau	5.065284547	83.89833333
211	HA	Ohau	4.793152818	73.95539683
212	LA	Ohau	4.881014214	62
213	LA	Ohau	4.314571656	70.44071429
214	ADLIB	Ohau	5.069280001	82.86611111
215	HA	Ohau	4.802674733	65.2
216	HA	Ohau	4.790967695	82.23607143
217	ADLIB	Ohau	5.021882466	82.21511905
218	LA	Ohau	4.698669245	62.46666667
219	LA	Ohau	4.55913376	65.52
220	HA	Ohau	4.619731075	80.09821429
221	ADLIB	Ohau	4.842608368	84.50039683
223	HA	Ohau	5.154546851	79.28289683
224	ADLIB	Ohau	4.930098215	70.56785714
226	HA	Ohau	4.476867221	84.57424242
227	LA	Ohau	4.90320561	72.28035714
228	ADLIB	Ohau	4.80534136	69.35833333
230	HA	Ohau	3.973051455	58.68166667
231	HA	Ohau	4.514845173	76.64365385
232	ADLIB	Ohau	4.802936246	78.195
233	LA	Ohau	5.053294886	84.42702381
234	HA	Ohau	5.153719401	84.70071429
235	LA	Ohau	4.07462029	59.40333333
236	ADLIB	Ohau	5.118494148	87.70232323
237	HA	Ohau	4.699196263	73.59277778
238	ADLIB	Ohau	5.18469782	85.40571429
240	ADLIB	Ohau	5.206815752	78.095
242	HA	Ohau	4.245723377	51.85
243	LA	Ohau	4.040046405	65.24071429
245	ADLIB	Ohau	4.461720564	57.23
246	ADLIB	Ohau	4.947920274	84.11011905
247	LA	Ohau	4.520742938	58.9
248	HA	Ohau	4.718791323	81.93154762
250	LA	Ohau	4.750688044	79.431892
251	ADLIB	Ohau	4.721374187	78.42238095
254	ADLIB	Ohau	4.858429458	85.215
255	LA	Ohau	4.587075595	73.3640873
257	ADLIB	Ohau	4.785653679	73.18154762
258	HA	Ohau	4.219676408	73.5825
259	LA	Ohau	4.744843813	76.66666667
263	LA	Ohau	4.545690619	61.93666667
264	HA	Ohau	4.672936743	73.27285714
266	ADLIB	Ohau	5.140780884	71.49333333
272	LA	Ohau	4.84095343	83.47896825
273	HA	Ohau	5.105515414	89.16581197
274	ADLIB	Ohau	4.786434043	60.13333333
275	ADLIB	Ohau	5.026207965	88.23896825
