Taxon	Acetate:Propionate	Acetic acid (%)	Acetic acid (mM)	Total SCFA (mM)	Butyric acid (%)	Butyric acid (mM)	Propionic acid (mM)	Propionic acid (%)	Valeric acid (mM)	Valeric acid (%)	Isovaleric acid (%)	Isobutyric acid (%)	Isovaleric acid (mM)	Isobutyric acid (mM)	LA	HA	ADLIB
Ruminococcaceae UCG-009	0.092296719	0.174909004	-0.3168899	-0.358170617	-0.444736826	-0.487661716	-0.373103244	-0.17457737	0.11374866	0.33895786	0.294823935	0.34802172	0.098369118	0.131484558	0.192066607	0.188317624	0.135599975
Bacteroidales unclassified	0.067112325	0.122201149	-0.231024457	-0.259957428	-0.327255636	-0.356877784	-0.269473396	-0.124392514	0.087416112	0.251445117	0.226301219	0.263073366	0.084471315	0.107521952	0.135656726	0.167594143	0.120607466
Ruminococcaceae NK4A214 group	0.065224863	0.138859106	-0.277586094	-0.310928086	-0.386384034	-0.423060939	-0.318180063	-0.136568395	0.104852119	0.30246222	0.259895513	0.307922447	0.09051644	0.119639087	0.245205856	0.283154236	0.149492262
Eubacterium nodatum group	0.046027629	0.137832802	-0.253374185	-0.286526429	-0.33596042	-0.376214999	-0.294057736	-0.122815052	0.080008664	0.261403219	0.186908597	0.241223708	0.028432735	0.060098444	0.215333494	0.245049614	0.125517721
Tyzzerella 4	-0.078734779	-0.139903068	-0.148003064	-0.121246171	-0.247972119	-0.22546463	-0.054999112	0.103405314	0.188044092	0.292412224	0.391882521	0.384726987	0.350249449	0.343351216	0.470546297	0.780961738	1.092363672
Desulfovibrio	-0.152238465	-0.149007563	-0.217486799	-0.19135569	-0.303355213	-0.297185141	-0.103208341	0.143014005	0.210999438	0.367955193	0.38120514	0.409491473	0.302525499	0.311779318	0.231538993	0.333513417	0.381993658
Erysipelotrichaceae unc 1	-0.155132286	-0.171826379	-0.156176667	-0.124159912	-0.221987429	-0.207518219	-0.03801479	0.16255355	0.186345527	0.299324603	0.328599049	0.344153362	0.286054625	0.288213341	0.14702127	0.44449102	0.384870596
Ruminiclostridium 9	-0.172104092	-0.154187735	-0.17853274	-0.151088544	-0.232595062	-0.228430372	-0.06404341	0.160752414	0.179094279	0.309300372	0.292686736	0.324711748	0.23324854	0.243616594	0.353832916	0.483184335	0.573422285
Bacteroides	-0.061906379	-0.045781312	-0.15580796	-0.149464982	-0.216477775	-0.22053323	-0.108375167	0.043856169	0.12026396	0.232250262	0.229314707	0.252210004	0.160106668	0.170132042	7.61787818	9.395850719	9.318221931
Ruminococcaceae unc	-0.062098439	0.015280964	-0.256913145	-0.265522414	-0.333011275	-0.359484396	-0.226368716	0.002177549	0.138506018	0.323991621	0.254951984	0.310308975	0.119612999	0.147313172	0.274003963	0.323286656	0.399749516
Ruminococcaceae UCG-014	-0.154968063	-0.046094406	-0.234346537	-0.231111555	-0.2656619	-0.29376679	-0.166394082	0.089050765	0.133075988	0.305312643	0.176135253	0.24753476	0.061720584	0.094137536	1.685977902	2.269493192	2.15502827
Ruminococcaceae	-0.179953532	-0.023180689	-0.261171648	-0.263904967	-0.273883689	-0.31601252	-0.197902052	0.08858897	0.1207619	0.313954766	0.120329272	0.214272416	-0.015140104	0.02843277	0.469504318	0.377438184	0.410140587
Lachnospiraceae UCG-010	-0.216931733	-0.106747296	-0.303102958	-0.288928078	-0.359233668	-0.384300954	-0.190971459	0.149182664	0.205113174	0.427239306	0.299936251	0.381214047	0.163267375	0.198534379	1.063518051	1.103138035	0.96960259
Odoribacter	-0.309995607	-0.218091925	-0.210078904	-0.172019667	-0.214836172	-0.223599578	-0.045225621	0.269168449	0.193198127	0.350640928	0.218953884	0.290883521	0.151232461	0.177392278	0.258552399	0.316904796	0.503073147
Acetitomaculum	0.110289107	0.140219083	0.24734662	0.22271282	0.374781675	0.362292081	0.138690772	-0.111773649	-0.243511445	-0.419786406	-0.489706683	-0.504922916	-0.396862041	-0.400879749	0.31676888	0.14845831	0.043813415
Agathobacter	-0.001234631	0.04680213	0.226793938	0.219977805	0.371852384	0.362493502	0.178010767	-0.00176216	-0.199696802	-0.358756523	-0.465328393	-0.465097378	-0.36569606	-0.366023939	0.494221906	0.375756527	0.110371973
Lachnospiraceae UCG-001	-0.074422496	-0.024424127	0.231147294	0.238474453	0.391026583	0.387394691	0.224236266	0.077360054	-0.174912137	-0.335615749	-0.45579951	-0.450808083	-0.340271384	-0.341108692	0.366310793	0.117235929	0.047500329
Succinivibrio	-0.022768235	-0.02207002	0.242920588	0.251006412	0.371481875	0.379650688	0.227350737	0.048041383	-0.161605414	-0.333153446	-0.380585699	-0.399029873	-0.25626903	-0.267598449	0.383008866	0.208413767	0.202037736
Prevotella 1	-0.108824983	-0.057878499	0.287575701	0.302379437	0.482329458	0.482825467	0.29390642	0.119822712	-0.20138413	-0.401364516	-0.537680002	-0.534934048	-0.387808324	-0.391398601	0.514132635	0.218431215	0.109766553
Treponema 2	0.066474212	0.099478534	0.113086191	0.094403273	0.180324625	0.167016071	0.044777936	-0.078699996	-0.134419424	-0.21471183	-0.270983391	-0.271293539	-0.236771655	-0.234351502	0.408987453	0.105692921	0.005991837
Roseburia	-0.104312308	0.01494603	0.143046253	0.13975068	0.303558976	0.277807281	0.131501346	0.06510528	-0.160685339	-0.256288778	-0.460003333	-0.418710935	-0.400508174	-0.382868606	1.015825484	0.714085125	0.479218624
Lachnospiraceae unclassified	-0.029287842	0.099348509	0.030968	0.009024792	0.127859739	0.089707414	-0.016162256	-0.032420957	-0.120489615	-0.137856471	-0.324064929	-0.274280362	-0.337065248	-0.311502774	11.6919134	10.76627292	7.734108673
Ruminiclostridium 6	-0.042724952	0.047569666	0.086900616	0.076891135	0.191793922	0.168635091	0.059234214	0.007721404	-0.121287768	-0.179199287	-0.324597783	-0.293719293	-0.297196322	-0.282490738	0.157498973	0.113033634	0.037145869
Muribaculaceae unc	-0.070920177	0.037658123	0.08112531	0.072604415	0.198321314	0.17151969	0.062185855	0.028303675	-0.121589825	-0.174311795	-0.347692516	-0.307469148	-0.322485404	-0.303912797	4.409509158	2.517069424	1.35794318
Ruminococcus 1	-0.089197262	0.012312129	0.050561266	0.046745308	0.150733159	0.126958142	0.049392631	0.048943801	-0.086726351	-0.117683982	-0.278441054	-0.237387143	-0.262909324	-0.244601204	0.600096279	0.34624646	0.17814246
Porphyromonadaceae unc	-0.123318154	-0.019458411	0.047089976	0.049468354	0.152203309	0.130489253	0.065414095	0.084545241	-0.072552213	-0.100336646	-0.268430288	-0.22413768	-0.248586267	-0.229956269	2.03051012	1.514848598	1.608581306
Sutterella	-0.115396183	-0.171114471	0.169710101	0.207411281	0.241655016	0.273970911	0.244279527	0.171361298	-0.024442424	-0.144169163	-0.113918215	-0.143003025	0.007182867	-0.013638709	0.514420373	0.358997246	0.520408355
Tyzzerella	-0.194245574	-0.314672134	0.263840865	0.332812298	0.357920547	0.42032565	0.404533836	0.300272668	-0.00294599	-0.189853969	-0.098466039	-0.156098745	0.101635715	0.061947974	0.15832568	0.068918375	0.166981765
Lachnospiraceae NK4A136 group	-0.219930328	-0.169404514	0.20380425	0.239438067	0.372682194	0.380567648	0.285990227	0.232933594	-0.097516779	-0.236105544	-0.372301655	-0.356198148	-0.242070869	-0.242968905	0.442163373	0.265155883	0.305318663
Anaerovibrio	-0.26431831	-0.242241339	0.190090103	0.240553738	0.341957057	0.362437255	0.313613754	0.294845775	-0.045542672	-0.174472418	-0.275311696	-0.266628988	-0.135686429	-0.142422868	0.343097561	0.384730538	0.234634339
Prevotellaceae unc	-0.306306408	-0.309646026	0.283053992	0.348842734	0.474051936	0.508777686	0.432451858	0.36292239	-0.071881942	-0.266636	-0.354972568	-0.361474821	-0.154496359	-0.171345694	0.220424856	0.129504831	0.195191349
Prevotella 9	-0.361754272	-0.36378166	0.199001413	0.274203589	0.356322617	0.393123387	0.390529551	0.414469312	0.008242171	-0.125914647	-0.208748269	-0.204494935	-0.03935662	-0.052582615	0.353943186	0.382052668	0.610560505
Lachnospiraceae UCG-004	-0.375331759	-0.39237359	0.208030124	0.289356289	0.363179369	0.406219025	0.41362333	0.437996316	0.020303441	-0.120458466	-0.186167668	-0.187760045	-0.005697467	-0.022660867	0.175789285	0.129342168	0.191459463
Dorea	-0.241687765	-0.214017809	0.060392735	0.103154182	0.145529929	0.158831724	0.183210475	0.254663201	0.031385219	-0.005964786	-0.088219526	-0.067964828	-0.018586696	-0.017905192	0.157444702	0.139728635	0.12838137
Prevotellaceae UCG-003	-0.327664971	-0.18302245	-0.104615021	-0.073006985	-0.021184526	-0.042643019	0.033300778	0.271058229	0.081090651	0.165836473	-0.059520253	0.025491625	-0.085617612	-0.053330677	1.263346504	1.101890866	1.247776576
Faecalibacterium	-0.50519329	-0.592204389	0.106184688	0.227040783	0.187788617	0.261760858	0.433743502	0.606187714	0.204199848	0.135812386	0.166341927	0.153355733	0.340283314	0.31191105	0.766748761	1.131548615	2.556360076
Phascolarctobacterium	-0.568130127	-0.598867892	0.064848628	0.185199031	0.168512363	0.228613099	0.407941951	0.641274159	0.210159773	0.17397808	0.12588963	0.142195174	0.27678589	0.261642689	0.35946583	0.472749977	0.62059023
Prevotellaceae NK3B31 group	-0.446321268	-0.388330554	-0.026606474	0.048729363	0.063863283	0.082536603	0.21326915	0.453252281	0.148806885	0.177852014	0.041121065	0.092650102	0.099615774	0.108734915	0.388462969	0.415130178	0.522044312
Alloprevotella	-0.406918475	-0.38960639	-0.070678161	0.005096579	-0.033133957	-0.00587752	0.170315303	0.427340159	0.198766937	0.257007538	0.189450774	0.226277942	0.229240339	0.232161807	2.323885024	3.211239321	4.590013161
Lachnospiraceae GCA-900066575	-0.400083528	-0.39844249	0.007761567	0.086822972	0.07515851	0.108967527	0.242845257	0.4357196	0.154530159	0.156615063	0.097535378	0.121310564	0.17890575	0.174937235	0.081030913	0.132015437	0.310915266
Prevotella 2	-0.418624933	-0.408164781	-0.023189539	0.057137343	0.036466897	0.068192364	0.222357334	0.448293505	0.1761102	0.200733587	0.132494479	0.163397953	0.199848571	0.199001086	1.746271387	2.040842239	3.530577393
Enterobacteriaceae	-0.02272898	-0.22794319	0.18693999	0.23933764	0.164427026	0.237493557	0.275293081	0.15034328	0.054651087	-0.083677777	0.161611524	0.06678828	0.312699206	0.260284666	0.059788256	0.093351826	0.282568178
Peptoclostridium	-0.206263815	-0.437964317	0.27956604	0.375574947	0.317466323	0.417189964	0.478108871	0.373138608	0.086563007	-0.114720491	0.124985436	0.022994336	0.364624504	0.300485819	0.098039217	0.098369248	0.604840483
Anaerostipes	-0.21520335	-0.407217628	0.227319891	0.315592006	0.263400616	0.349704192	0.418570518	0.357026323	0.092648297	-0.070237705	0.123053898	0.041522682	0.328118476	0.274729797	0.036736179	0.053105047	0.448306612
Streptococcus	-0.204733056	-0.397307285	0.162397944	0.24772175	0.163213644	0.247080305	0.355390845	0.339605302	0.134390422	0.01725747	0.224345965	0.147336638	0.395430292	0.345033645	0.141354516	0.347820962	1.676089543
Holdemanella	-0.217403647	-0.438666613	0.197293103	0.291958101	0.200936652	0.296060495	0.407220257	0.371815617	0.139721747	-0.002774051	0.235727799	0.145302411	0.434114261	0.375890396	0.221176427	0.279353109	0.40987167
Ruminococcus torques group	-0.327636765	-0.539699174	0.181876738	0.296136439	0.200284447	0.301436746	0.454515339	0.485582229	0.187075293	0.057856171	0.271198283	0.192215518	0.48101454	0.424366141	0.091463988	0.239143272	0.676626405
Blautia	-0.433528471	-0.643961811	0.166180067	0.300830864	0.194031525	0.30327557	0.502572749	0.598555634	0.239384357	0.123322729	0.32255294	0.251799528	0.544816447	0.488193356	2.741131484	4.415186688	6.444945428
Peptococcus	-0.310463365	-0.515642808	0.049094963	0.156403823	0.00080915	0.094750791	0.324012147	0.450369356	0.267256132	0.231943544	0.46189274	0.39556851	0.600914474	0.55204655	0.014190736	0.115815378	0.356027008
Ruminococcus gauvreauii group	-0.321451631	-0.482635488	0.035327102	0.134949959	0.00783751	0.088166407	0.29757931	0.437972044	0.243504734	0.219518196	0.389990506	0.342763793	0.512715535	0.47370911	0.447691583	0.724829187	1.224803893
Lachnoclostridium	-0.382010219	-0.517912266	0.007484078	0.113136504	-0.009811933	0.066792829	0.296917173	0.488001335	0.265700092	0.263355137	0.395686629	0.364303969	0.509766793	0.476813953	0.047740264	0.156381438	0.355889913
Intestinimonas	-0.139763305	-0.263576637	0.112686156	0.169283007	0.118723713	0.173558354	0.240603624	0.228008357	0.083888189	0.002873417	0.133416034	0.083703317	0.249087167	0.216221525	0.055746882	0.083182041	0.287597584
Erysipelotrichaceae UCG-003	-0.180373491	-0.273986878	0.076319477	0.133782028	0.087987947	0.135584594	0.218294876	0.252904554	0.099779898	0.046219671	0.13615285	0.103737936	0.233778289	0.208601605	0.139465221	0.14894204	0.405673288
Butyricicoccus	-0.218750367	-0.380644681	0.085817369	0.166013652	0.067773302	0.140910522	0.281656672	0.331374153	0.167316499	0.105625765	0.282302021	0.224522017	0.410155494	0.369675387	0.071471689	0.098555378	0.150636781
Megamonas	-0.230141837	-0.366318895	0.062194569	0.138643971	0.049093864	0.114284089	0.255412074	0.328026201	0.166348576	0.122399603	0.266398006	0.221363389	0.377995662	0.343952319	0.04275527	0.063389712	0.542231381
Lachnospiraceae unc 1	-0.368818128	-0.491113093	0.087649352	0.188931057	0.117496401	0.190717727	0.353367486	0.474297839	0.192515538	0.133585871	0.234766586	0.201329143	0.38229983	0.348650493	0.143688061	0.216762406	0.383356906
Subdoligranulum	-0.356288451	-0.423207284	0.091560354	0.178268669	0.154363071	0.208765626	0.323226162	0.432042387	0.137106653	0.076897696	0.103081657	0.090360576	0.235463623	0.213503556	0.084581931	0.315661104	1.071787388
Catenibacterium	-0.373274297	-0.433132149	0.020879498	0.108321308	0.054277003	0.105974988	0.267615166	0.439981508	0.187405418	0.177781261	0.204520154	0.20142604	0.30341103	0.286054763	0.026640845	0.130506758	0.328169741
