Taxon	Body girth gain (cm)	Hip height gain (cm)	Body weight gain (kg)	Average daily gain (kg)	Total serum protein (g/L)	Total scours score	LA	HA	ADLIB
Erysipelotrichaceae UCG-002	0.015838248	-0.025705475	0.007162488	-0.005555791	0.288531068	-0.064965575	0.206893209	0.10011508	0.021931852
Clostridium sensu stricto 1	-0.001295666	-0.021942633	0.061180668	0.073051152	0.385189735	-0.179060936	3.389757262	1.97492933	2.521369991
Terrisporobacter	-0.063995925	-0.021695482	0.085538661	0.137669642	0.255609762	-0.258960339	0.449100384	0.424471506	0.75877441
Turicibacter	-0.090066152	-0.041367371	0.072780355	0.130792412	0.285340565	-0.287518809	0.709958598	0.660176467	0.7446671
Romboutsia	-0.097357819	-0.019400542	0.103372206	0.178748754	0.185636258	-0.307009152	2.002881507	2.363895378	3.437143206
Paeniclostridium	-0.201102397	-0.094270772	-0.002019115	0.082923171	0.088744979	-0.297224203	0.796372959	0.773351659	0.731309238
Clostridioides	-0.302143759	-0.148900761	-0.048550946	0.065125497	0.036841928	-0.366133046	0.261735464	0.254781988	0.232506227
Muribaculaceae unc	-0.07958248	-0.124534584	-0.227609973	-0.275657109	-0.027497922	0.169909754	4.409509158	2.517069424	1.35794318
Rikenellaceae RC9 gut group	-0.086476696	-0.10489764	-0.230648844	-0.271122488	-0.222053575	0.216767374	3.276475509	3.294110748	1.807136418
Ruminococcaceae unc	-0.169753188	-0.046289385	-0.042267499	0.026496623	-0.336926725	-0.090985874	0.274003963	0.323286656	0.399749516
Eubacterium coprostanoligenes group	-0.226748688	-0.153901988	-0.236579276	-0.215019466	-0.312934497	0.056212972	2.607475524	2.646779513	1.848239599
Christensenellaceae R7 group	-0.297093918	-0.20983132	-0.270750128	-0.233932965	-0.208491948	-0.027708459	2.253138401	2.610110847	1.619723189
Ruminococcaceae UCG-010	-0.364282801	-0.25527814	-0.320079627	-0.271264403	-0.231295923	-0.054765568	2.043499706	1.387480431	0.591009202
Lachnoclostridium 10	-0.254453776	-0.205604966	-0.284207956	-0.272888155	-0.145732385	0.029789145	0.230212319	0.175960029	0.047986575
Clostridiales vadinbb60 group unc	-0.257148953	-0.200394164	-0.259636437	-0.239034413	-0.113279767	-0.012004568	0.380575718	0.131111999	0.071404946
Oscillibacter	-0.270682003	-0.216294631	-0.309248689	-0.298483545	-0.198589013	0.051733693	0.41559766	0.413344613	0.254155881
Ruminococcaceae UCG-013	-0.29390451	-0.22868466	-0.325316766	-0.309349536	-0.23029599	0.047662085	0.999215002	0.620639856	0.334341912
Mollicutes RF39	-0.251632782	-0.150894502	-0.152215033	-0.093944826	-0.13214889	-0.127484637	1.553865498	1.557516467	1.413493707
Bacteroidales unclassified	-0.279666972	-0.176030138	-0.195428889	-0.139696838	-0.168650594	-0.104468454	0.135656726	0.167594143	0.120607466
Peptococcaceae unc	-0.318008049	-0.191754825	-0.220321366	-0.154432236	-0.254167858	-0.104161922	0.573693346	0.608306704	0.354925915
Ruminococcaceae NK4A214 group	-0.365744484	-0.221652875	-0.224356944	-0.141053684	-0.183658239	-0.183860776	0.245205856	0.283154236	0.149492262
Ruminococcaceae UCG-005	-0.387806658	-0.257001808	-0.284556975	-0.213992788	-0.174583217	-0.144737409	11.86839463	12.16228939	8.542424921
Ruminococcaceae UCG-009	-0.390773939	-0.244731334	-0.265588263	-0.185413769	-0.220109258	-0.159105524	0.192066607	0.188317624	0.135599975
